line;service;route
01;SESA;01001
01;SESA;01002
01;SESA;01003
01;SESA;01004
01;SESA;01005
01;SESA;01006
01;SESA;01007
01;TODOS;01008
01;DOM;01009
01;DOM;01010
01;DOM;01011
02;SESA;02001
02;SESA;02002
02;SESE;02003
02;SAB;02004
02;SESE;02005
02;SAB;02006
02;SESE;02007
02;SAB;02008
02;SESE;02009
02;SAB;02010
02;SESE;02011
02;SAB;02012
02;SESE;02013
02;SAB;02014
02;SESE;02015
02;SAB;02016
02;SESA;02017
03;SESA;03001
03;SESA;03002
03;TODOS;03003
03;SESA;03004
03;TODOS;03005
03;TODOS;03006
03;TODOS;03007
03;SESA;03008
03;TODOS;03009
03;SESA;03010
03;TODOS;03011
03;SESA;03012
03;SESE;03013
03;DOM;03014
03;SESA;03015
03;SESE;03016
03;DOM;03017
03;SESA;03018
03;DOM;03019
03;SESE;03020
03;SESA;03021
03;DOM;03022
03;SESA;03023
03;DOM;03024
03;SESA;03025
04;SESA;04001
04;SESA;04002
04;SESA;04003
04;SESA;04004
04;SESA;04005
04;SESA;04006
04;SESA;04007
04;SESA;04008
04;SESA;04009
04;SESA;04010
04;SESA;04011
04;SAB;04012
04;SESE;04013
04;SESE;04014
04;SESE;04015
04;SESE;04016
04;SESE;04017
04;SESE;04018
04;SESE;04019
04;SESA;04020
04;SESA;04021
04;SAB;04022
04;SAB;04023
04;SAB;04024
04;SAB;04025
04;DOM;04026
04;DOM;04027
04;DOM;04028
04;DOM;04029
04;DOM;04030
04;DOM;04031
04;DOM;04032
04;DOM;04033
04;DOM;04034
04;DOM;04035
04;DOM;04036
04;DOM;04037
05;SESA;05001
05;TODOS;05002
05;TODOS;05003
05;TODOS;05004
05;TODOS;05005
05;TODOS;05006
05;TODOS;05007
05;TODOS;05008
05;TODOS;05009
05;TODOS;05010
05;TODOS;05011
06;SESA;06001
06;SESA;06002
06;SESA;06003
06;SESA;06004
06;SESA;06005
06;SAB;06006
06;SESE;06007
06;SESE;06008
06;SESE;06009
06;SESE;06010
07;SESA;07001
07;SESA;07002
07;TODOS;07003
07;SESA;07004
07;TODOS;07005
07;SAB;07006
07;TODOS;07007
07;SAB;07008
07;TODOS;07009
07;SESE;07010
07;SAB;07011
07;DOM;07012
07;SESE;07013
07;SESE;07014
07;SESE;07015
07;SESE;07016
07;SESE;07017
07;SESE;07018
07;SESE;07019
07;SESE;07020
07;SESE;07021
07;SESE;07022
07;FDS;07023
07;FDS;07024
07;FDS;07025
07;FDS;07026
07;FDS;07027
07;FDS;07028
07;FDS;07029
08;SESA;08001
08;SESA;08002
08;SESA;08003
08;SESA;08004
08;SESA;08005
08;SESA;08006
08;SESA;08007
08;SESA;08008
08;SESA;08009
08;SESA;08010
08;SESA;08011
08;SAB;08012
08;SESE;08013
08;SESE;08014
08;SESE;08015
08;SESE;08016
08;SESE;08017
08;SESA;08018
08;SESA;08019
08;TODOS;08020
08;SAB;08021
08;SAB;08022
08;SAB;08023
08;DOM;08024
08;DOM;08025
08;DOM;08026
08;DOM;08027
08;DOM;08028
08;DOM;08029
08;DOM;08030
08;DOM;08031
08;DOM;08032
08;DOM;08033
11A;TODOS;11A001
11A;TODOS;11A002
11A;TODOS;11A003
11A;TODOS;11A004
11A;TODOS;11A005
11A;TODOS;11A006
11A;TODOS;11A007
11A;TODOS;11A008
11A;TODOS;11A009
11A;TODOS;11A010
11A;TODOS;11A011
11B;SESA;11B001
11B;SESA;11B002
11B;SESA;11B003
11B;SESA;11B004
11B;SESE;11B005
11B;SAB;11B006
11B;SESE;11B007
11B;SESE;11B008
11B;SESE;11B009
11B;SESE;11B010
11C;TODOS;11C001
11C;TODOS;11C002
11C;TODOS;11C003
11C;TODOS;11C004
11C;TODOS;11C005
11C;TODOS;11C006
11C;TODOS;11C007
11C;TODOS;11C008
11C;TODOS;11C009
11C;TODOS;11C010
11C;TODOS;11C011
17;SESA;17001
17;SESA;17002
17;SESA;17003
17;SESA;17004
17;SESE;17005
17;SAB;17006
17;SESE;17007
17;SESE;17008
17;SESE;17009
17;SESE;17010
