stop_id;stop_name;latitude;longitude
CNDIPE ;Avenida José de Souza Nogueira (Condomínio Residencial do Ipê);-22,45352751;-45,42015957
JSN1391 ;Avenida José de Souza Nogueira, 1391;-22,45129423;-45,42067915
JSN1408 ;Avenida José de Souza Nogueira, 1408;-22,45130414;-45,42077502
JSN1270 ;Avenida José de Souza Nogueira, 1270;-22,45028358;-45,42071511
JSN1267 ;Avenida José de Souza Nogueira, 1267;-22,45018265;-45,420566
JSN951 ;Avenida José de Souza Nogueira, 951 (Ginásio Poliesportivo);-22,44857803;-45,42015079
JSN1110 ;Avenida José de Souza Nogueira, 1110;-22,44880465;-45,42029489
JSN649 ;Avenida José de Souza Nogueira, 649;-22,44685657;-45,4203557
JSN678 ;Avenida José de Souza Nogueira, 678;-22,44691312;-45,42042923
JSN525 ;Avenida José de Souza Nogueira, 525;-22,44583269;-45,42132375
JSN2 ;Avenida José de Souza Nogueira, 2;-22,44576254;-45,42260645
CAR1 ;Avenida Coronel Aventino Ribeiro;-22,44435063;-45,42435496
CAR2 ;Avenida Coronel Aventino Ribeiro;-22,44419655;-45,4245552
CAR3 ;Avenida Coronel Aventino Ribeiro;-22,44319347;-45,42656847
CAR4 ;Avenida Coronel Aventino Ribeiro;-22,44287544;-45,42714925
IMBEL ;Avenida Coronel Aventino Ribeiro (Imbel);-22,44206289;-45,42803917
IMBEL2 ;Avenida Coronel Aventino Ribeiro (Imbel);-22,44138444;-45,42910253
PÇPIO ;Avenida Vereador José Pereira de Oliveira (Praça dos Pioneiros);-22,44152776;-45,42954861
CAR999 ;Avenida Coronel Aventino Ribeiro, 999;-22,44001456;-45,43050238
CAR1000 ;Avenida Coronel Aventino Ribeiro, 1000;-22,44017857;-45,430563
CAR1760 ;Avenida Coronel Aventino Ribeiro, 1760;-22,43847437;-45,43240858
CAR1813 ;Avenida Coronel Aventino Ribeiro, 1813;-22,43858139;-45,43218324
CAR397 ;Avenida Coronel Aventino Ribeiro, 397;-22,43491275;-45,4333481
CAR344 ;Avenida Coronel Aventino Ribeiro, 334;-22,43460885;-45,43357837
OCRUZ769 ;Rua Osvaldo Cruz, 769;-22,4315818;-45,43541887
OCRUZ750 ;Rua Osvaldo Cruz, 750;-22,43144067;-45,43566659
OCRUZ635 ;Rua Osvaldo Cruz, 635;-22,43046494;-45,4362222
OCRUZ520 ;Rua Osvaldo Cruz, 520;-22,4295913;-45,43718058
OCRUZ471 ;Rua Osvaldo Cruz, 471;-22,42924488;-45,43737921
OCRUZ45 ;Rua Osvaldo Cruz, 45;-22,42713571;-45,4409144
JJOSE831 ;Rua Joaquim José, 831;-22,4264219;-45,44245526
JJOSE605 ;Rua Joaquim José, 605;-22,42606596;-45,44458392
CJF397 ;Rua Coronel Joaquim Francisco, 397;-22,42644254;-45,44788492
CALVI131 ;Rua Cesário Alvin, 131;-22,42576067;-45,45200178
PMR264 ;Praça Padre Marçal Ribeiro, 264;-22,42637426;-45,45319615
